"time","ticker","curr"
"2006-04-24","AAVL","19"
"2006-04-24","ACFI","9"
"2006-04-24","BB","11"
"2006-04-24","BOTT","13"
"2006-04-24","BUZZ","7"
"2006-04-24","CHIA","12"
"2006-04-24","CHPS","19"
"2006-04-24","COFL","15"
"2006-04-24","CYBU","6"
"2006-04-24","DROO","12"
"2006-04-24","EEEEE","24"
"2006-04-24","FAER","18"
"2006-04-24","FISH","7"
"2006-04-24","HELT","50"
"2006-04-24","HUW","10"
"2006-04-24","KAUF","14"
"2006-04-24","KBAT","39"
"2006-04-24","KSON","12"
"2006-04-24","LDSC","6"
"2006-04-24","LUPE","189"
"2006-04-24","MPC","16"
"2006-04-24","MYNC","19"
"2006-04-24","NAKR","20"
"2006-04-24","NATN","14"
"2006-04-24","PDSS","15"
"2006-04-24","PEOP","15"
"2006-04-24","POWR","518"
"2006-04-24","SHRX","7"
"2006-04-24","SKBD","20"
"2006-04-24","SKEI","8"
"2006-04-24","SMUG","20"
"2006-04-24","SSS","12"
"2006-04-24","STFP","7"
"2006-04-24","SWNC","38"
"2006-04-24","TAG","9"
"2006-04-24","TNAH","18"
"2006-04-24","TNPT","7"
"2006-04-24","TPEG","14"
"2006-04-24","TPP","14"
"2006-04-24","TSRC","20"
"2006-04-24","UNIB",NA
"2006-04-24","VPTS",NA
"2006-04-24","YIPP",NA
"2006-04-25","AAVL","20"
"2006-04-25","ACFI","8"
"2006-04-25","BB","12"
"2006-04-25","BOTT","16"
"2006-04-25","BUZZ","7"
"2006-04-25","CHIA","12"
"2006-04-25","CHPS","16"
"2006-04-25","COFL","11"
"2006-04-25","CYBU","7"
"2006-04-25","DROO","10"
"2006-04-25","EEEEE","26"
"2006-04-25","FAER","19"
"2006-04-25","FISH","9"
"2006-04-25","HELT","58"
"2006-04-25","HUW","11"
"2006-04-25","KAUF","12"
"2006-04-25","KBAT","39"
"2006-04-25","KSON","12"
"2006-04-25","LDSC","6"
"2006-04-25","LUPE","209"
"2006-04-25","MPC","19"
"2006-04-25","MYNC","20"
"2006-04-25","NAKR","27"
"2006-04-25","NATN","15"
"2006-04-25","PDSS","15"
"2006-04-25","PEOP","15"
"2006-04-25","POWR","524"
"2006-04-25","SHRX","9"
"2006-04-25","SKBD","20"
"2006-04-25","SKEI","11"
"2006-04-25","SMUG","20"
"2006-04-25","SSS","12"
"2006-04-25","STFP","9"
"2006-04-25","SWNC","38"
"2006-04-25","TAG","7"
"2006-04-25","TNAH","16"
"2006-04-25","TNPT","6"
"2006-04-25","TPEG","13"
"2006-04-25","TPP","13"
"2006-04-25","TSRC","20"
"2006-04-25","UNIB","7"
"2006-04-25","VPTS","12"
"2006-04-25","YIPP","104"
"2006-04-26","AAVL","27"
"2006-04-26","ACFI","8"
"2006-04-26","BB","18"
"2006-04-26","BOTT","17"
"2006-04-26","BUZZ","8"
"2006-04-26","CHIA","8"
"2006-04-26","CHPS","17"
"2006-04-26","COFL","11"
"2006-04-26","CYBU","11"
"2006-04-26","DROO","8"
"2006-04-26","EEEEE","34"
"2006-04-26","FAER","17"
"2006-04-26","FISH","6"
"2006-04-26","HELT","37"
"2006-04-26","HUW","11"
"2006-04-26","KAUF","10"
